Date,Hour,Temp
2016-01-15,10,60.2
2016-01-15,11,62.7
2016-01-15,12,65.1
2016-01-15,13,67.6
2016-01-15,14,70.0
2016-01-15,15,68.5
2016-01-15,16,67.1
2016-01-15,17,65.6
2016-01-15,18,64.1
2016-01-15,19,62.7
2016-01-15,20,61.2
2016-01-15,21,59.7
2016-01-15,22,58.3
2016-01-15,23,56.8
2016-01-16,00,50.0
2016-01-16,01,48.6
2016-01-16,02,47.2
2016-01-16,03,45.8
2016-01-16,04,44.4
2016-01-16,05,43.0
2016-01-16,06,45.3
2016-01-16,07,47.7
2016-01-16,08,50.0
2016-01-16,09,52.3
2016-01-16,10,54.7
2016-01-16,11,57.0
2016-01-16,12,59.3
2016-01-16,13,61.7
2016-01-16,14,64.0
2016-01-16,15,62.6
2016-01-16,16,61.2
2016-01-16,17,59.8
2016-01-16,18,58.4
2016-01-16,19,57.0
2016-01-16,20,55.6
2016-01-16,21,54.2
2016-01-16,22,52.8
2016-01-16,23,51.4
2016-01-17,00,40.3
2016-01-17,01,38.7
2016-01-17,02,37.0
2016-01-17,03,35.3
2016-01-17,04,33.7
2016-01-17,05,32.0
2016-01-17,06,34.8
2016-01-17,07,37.6
2016-01-17,08,40.3
2016-01-17,09,43.1
2016-01-17,10,45.9
2016-01-17,11,48.7
2016-01-17,12,51.4
2016-01-17,13,54.2
2016-01-17,14,57.0
2016-01-17,15,55.3
2016-01-17,16,53.7
2016-01-17,17,52.0
2016-01-17,18,50.3
2016-01-17,19,48.7
2016-01-17,20,47.0
2016-01-17,21,45.3
2016-01-17,22,43.7
2016-01-17,23,42.0
2016-01-18,00,43.7
2016-01-18,01,42.1
2016-01-18,02,40.6
2016-01-18,03,39.1
2016-01-18,04,37.5
2016-01-18,05,36.0
2016-01-18,06,38.6
2016-01-18,07,41.1
2016-01-18,08,43.7
2016-01-18,09,46.2
2016-01-18,10,48.8
2016-01-18,11,51.3
2016-01-18,12,53.9
2016-01-18,13,56.4
2016-01-18,14,59.0
2016-01-18,15,57.5
2016-01-18,16,55.9
